Period,Pris
2022-01-10,56195
2022-01-17,56037
2022-01-24,58538
2022-01-31,55672
2022-02-07,60884
2022-02-14,57050
2022-02-21,58890
2022-02-28,62123
2022-03-07,61360
2022-03-14,63104
2022-03-21,62935
2022-03-28,60811
2022-04-04,58569
2022-04-11,60747
2022-04-18,58722
2022-04-25,59163
2022-05-02,60032
2022-05-09,61226
2022-05-16,59407
2022-05-23,60996
2022-05-30,58552
2022-06-06,58046
2022-06-13,54941
2022-06-20,50173
2022-06-27,52895
2022-07-04,48574
2022-07-11,51357
2022-07-18,55374
2022-07-25,50367
2022-08-01,53192
2022-08-08,57248
2022-08-15,58243
2022-08-22,60016
2022-08-29,58780
2022-09-05,57055
2022-09-12,58876
2022-09-19,54012
2022-09-26,59019
2022-10-03,57076
2022-10-10,57573
2022-10-17,54985
2022-10-24,56984
2022-10-31,58095
2022-11-07,57882
2022-11-14,53632
2022-11-21,55099
2022-11-28,55897
2022-12-05,54296
2022-12-12,46160
2022-12-19,52126
2022-12-26,51542
2023-01-02,52513
2023-01-09,59491
2023-01-16,52298
2023-01-23,53885
2023-01-30,56235
2023-02-06,56475
2023-02-13,53951
2023-02-20,54515
2023-02-27,55136
2023-03-06,56301
2023-03-13,57737
2023-03-20,59374
2023-03-27,52823
2023-04-03,57852
2023-04-10,57599
2023-04-17,59077
2023-04-24,53884
2023-05-01,59212
2023-05-08,57503
2023-05-15,56107
2023-05-22,59401
2023-05-29,59350
2023-06-05,58939
2023-06-12,53755
2023-06-19,49442
2023-06-26,48714
2023-07-03,48104
2023-07-10,47860
2023-07-17,50036
2023-07-24,47476
2023-07-31,59035
2023-08-07,58920
2023-08-14,57775
2023-08-21,60529
2023-08-28,60981
2023-09-04,59786
2023-09-11,55810
2023-09-18,56050
2023-09-25,58898
2023-10-02,58012
2023-10-09,57422
2023-10-16,57183
2023-10-23,51150
2023-10-30,60630
2023-11-06,60005
2023-11-13,53935
2023-11-20,55976
2023-11-27,51527
2023-12-04,53424
2023-12-11,49382
2023-12-18,51024
2023-12-25,55690
2024-01-01,52580
2024-01-08,54226
2024-01-15,53699
2024-01-22,57641
2024-01-29,52910
2024-02-05,55749
2024-02-12,54254
2024-02-19,52632
2024-02-26,55894
2024-03-04,59744
2024-03-11,53055
2024-03-18,51545
2024-03-25,52860
2024-04-01,56814
2024-04-08,59188
2024-04-15,58002
2024-04-22,56954
2024-04-29,58989
2024-05-06,57999
2024-05-13,59323
2024-05-20,58706
2024-05-27,56528
2024-06-03,61387
2024-06-10,53899
2024-06-17,49646
2024-06-24,49273
2024-07-01,46929
2024-07-08,49829
2024-07-15,45585
2024-07-22,50332
2024-07-29,53991
2024-08-05,57612
2024-08-12,58797
2024-08-19,65284
2024-08-26,59735
2024-09-02,57770
2024-09-09,61032
2024-09-16,62506
